,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link
160,1 week ,36 Thousand,7,Flat,"E-11, Islamabad","1,150",2,2,https://www.prop.pk/property/details-21138793.html
161,1 week ,30 Thousand,6,Flat,"E-11, Islamabad",550,1,1,https://www.prop.pk/property/details-21508271.html
162,1 week ,30 Thousand,8,Flat,"E-11, Islamabad","1,200",1,1,https://www.prop.pk/property/details-16780347.html
163,1 week ,33 Thousand,5,Flat,"E-11, Islamabad",900,2,2,https://www.prop.pk/property/details-22612400.html
164,1 week ,45 Thousand,17,Flat,"E-11/2, E-11",750,2,2,https://www.prop.pk/property/details-20578674.html
165,1 week ,28 Thousand,5,Flat,"E-11/2, E-11",750,2,2,https://www.prop.pk/property/details-20249431.html
166,1 week ,30 Thousand,11,Flat,"E-11/2, E-11",750,2,2,https://www.prop.pk/property/details-20510263.html
167,1 week ,32 Thousand,10,Flat,"E-11/2, E-11",750,2,2,https://www.prop.pk/property/details-19127554.html
168,1 week ,45 Thousand,14,Flat,"E-11, Islamabad","1,500",3,3,https://www.prop.pk/property/details-22594373.html
169,1 week ,30 Thousand,9,Flat,"E-11, Islamabad","1,500",3,3,https://www.prop.pk/property/details-22592259.html
170,1 week ,45 Thousand,14,Flat,"E-11, Islamabad","1,500",2,3,https://www.prop.pk/property/details-21450175.html
171,1 week ,60 Thousand,14,Flat,"Capital Residencia, Margalla Hills-2","1,700",3,3,https://www.prop.pk/property/details-21819203.html
172,1 week ,36 Thousand,12,Flat,"E-11, Islamabad",600,1,1,https://www.prop.pk/property/details-22588050.html
173,1 week ,35 Thousand,11,Flat,"E-11, Islamabad",750,2,2,https://www.prop.pk/property/details-22587916.html
174,1 week ,45 Thousand,11,Flat,"E-11, Islamabad","1,550",2,2,https://www.prop.pk/property/details-22581883.html
175,2 weeks ,65 Thousand,10,Flat,"E-11, Islamabad","1,250",2,2,https://www.prop.pk/property/details-22539131.html
176,2 weeks ,55 Thousand,8,Flat,"E-11, Islamabad","1,600",2,2,https://www.prop.pk/property/details-22539372.html
177,2 weeks ,28 Thousand,2,Flat,"E-11/3, E-11",800,2,2,https://www.prop.pk/property/details-22565080.html
178,2 weeks ,26 Thousand,8,Flat,"E-11, Islamabad",750,1,1,https://www.prop.pk/property/details-22560825.html
179,2 weeks ,50 Thousand,5,Flat,"Capital Residencia, Margalla Hills-2","1,400",2,2,https://www.prop.pk/property/details-22459127.html
180,2 weeks ,43 Thousand,8,Flat,"E-11, Islamabad",930,2,2,https://www.prop.pk/property/details-22558647.html
181,2 weeks ,45 Thousand,8,Flat,"E-11, Islamabad","1,200",2,2,https://www.prop.pk/property/details-22555294.html
182,2 weeks ,85 Thousand,16,Flat,"E-11, Islamabad","1,600",3,3,https://www.prop.pk/property/details-21459777.html
183,2 weeks ,60 Thousand,9,Flat,"E-11, Islamabad","1,900",3,3,https://www.prop.pk/property/details-21334878.html
184,2 weeks ,45 Thousand,11,Flat,"E-11, Islamabad","1,400",,5,https://www.prop.pk/property/details-21994905.html
185,2 weeks ,55 Thousand,7,Flat,"E-11, Islamabad","1,600",2,2,https://www.prop.pk/property/details-21828068.html
186,2 weeks ,65 Thousand,7,Flat,"E-11, Islamabad","1,900",3,3,https://www.prop.pk/property/details-21828076.html
187,2 weeks ,55 Thousand,8,Flat,"E-11, Islamabad","1,600",2,2,https://www.prop.pk/property/details-21305464.html
188,2 weeks ,65 Thousand,9,Flat,"E-11, Islamabad","1,900",3,3,https://www.prop.pk/property/details-21305449.html
189,2 weeks ,35 Thousand,7,Flat,"E-11/2, E-11",500,1,1,https://www.prop.pk/property/details-21375733.html
190,2 weeks ,70 Thousand,6,Flat,"E-11/1, E-11","1,900",3,3,https://www.prop.pk/property/details-20906036.html
191,2 weeks ,80 Thousand,6,Flat,"E-11/1, E-11","2,600",4,4,https://www.prop.pk/property/details-20906043.html
192,2 weeks ,55 Thousand,6,Flat,"E-11, Islamabad","1,600",2,2,https://www.prop.pk/property/details-20178276.html
193,2 weeks ,65 Thousand,7,Flat,"E-11, Islamabad","1,900",3,3,https://www.prop.pk/property/details-20178279.html
194,2 weeks ,80 Thousand,17,Flat,"E-11, Islamabad","1,750",3,3,https://www.prop.pk/property/details-22538476.html
195,2 weeks ,50 Thousand,1,Flat,"E-11, Islamabad",900,2,2,https://www.prop.pk/property/details-22535918.html
196,2 weeks ,70 Thousand,7,Flat,"E-11, Islamabad","1,400",2,2,https://www.prop.pk/property/details-22535587.html
197,2 weeks ,32 Thousand,7,Flat,"E-11, Islamabad","1,175",2,2,https://www.prop.pk/property/details-22534791.html
198,2 weeks ,43 Thousand,13,Flat,"E-11, Islamabad",900,2,2,https://www.prop.pk/property/details-21573368.html
199,2 weeks ,19 Thousand,6,Flat,"E-11/1, E-11",415,1,1,https://www.prop.pk/property/details-22533375.html
200,2 weeks ,55 Thousand,12,Flat,"E-11, Islamabad","1,200",2,2,https://www.prop.pk/property/details-22532480.html
201,2 weeks ,30 Thousand,7,Flat,"E-11, Islamabad",650,1,1,https://www.prop.pk/property/details-22527978.html
202,2 weeks ,62 Thousand,13,Flat,"E-11, Islamabad","1,250",2,,https://www.prop.pk/property/details-21273682.html
203,2 weeks ,50 Thousand,4,Flat,"E-11, Islamabad","1,400",3,3,https://www.prop.pk/property/details-21458861.html
204,2 weeks ,53 Thousand,10,Flat,"E-11, Islamabad","1,750",3,3,https://www.prop.pk/property/details-21591265.html
205,2 weeks ,45 Thousand,4,Flat,"E-11, Islamabad","1,300",2,2,https://www.prop.pk/property/details-22052035.html
206,2 weeks ,60 Thousand,5,Flat,"E-11, Islamabad","1,200",2,2,https://www.prop.pk/property/details-22063154.html
207,2 weeks ,45 Thousand,8,Flat,"E-11, Islamabad","1,250",2,2,https://www.prop.pk/property/details-22343186.html
208,2 weeks ,65 Thousand,8,Flat,"E-11/4, E-11",937,2,2,https://www.prop.pk/property/details-22380232.html
209,2 weeks ,60 Thousand,9,Flat,"E-11, Islamabad","1,250",2,2,https://www.prop.pk/property/details-22526076.html
210,2 weeks ,20 Thousand,2,Flat,"E-11, Islamabad",450,,,https://www.prop.pk/property/details-20981197.html
211,2 weeks ,23 Thousand,1,Flat,"E-11/2, E-11",550,1,1,https://www.prop.pk/property/details-20981262.html
212,2 weeks ,29 Thousand,2,Flat,"E-11/2, E-11",650,1,1,https://www.prop.pk/property/details-21123155.html
213,2 weeks ,35 Thousand,4,Flat,"E-11/2, E-11","1,000",2,2,https://www.prop.pk/property/details-21123227.html
214,2 weeks ,25 Thousand,3,Flat,"E-11/2, E-11",650,1,1,https://www.prop.pk/property/details-21123276.html
215,2 weeks ,38 Thousand,7,Flat,"E-11/2, E-11","1,200",3,3,https://www.prop.pk/property/details-21123302.html
216,2 weeks ,27 Thousand,2,Flat,"E-11/2, E-11",850,2,2,https://www.prop.pk/property/details-21134514.html
217,2 weeks ,32 Thousand,13,Flat,"E-11, Islamabad",850,2,2,https://www.prop.pk/property/details-21046436.html
218,2 weeks ,35 Thousand,6,Flat,"E-11, Islamabad","1,000",2,2,https://www.prop.pk/property/details-21093119.html
219,2 weeks ,50 Thousand,14,Flat,"E-11/4, E-11","1,400",3,3,https://www.prop.pk/property/details-21338192.html
220,2 weeks ,20 Thousand,2,Flat,"E-11/2, E-11",600,1,1,https://www.prop.pk/property/details-21268080.html
221,2 weeks ,18 Thousand,5,Flat,"E-11/2, E-11",600,1,1,https://www.prop.pk/property/details-21260210.html
222,2 weeks ,20 Thousand,5,Flat,"E-11, Islamabad",600,1,1,https://www.prop.pk/property/details-21260340.html
223,2 weeks ,38 Thousand,6,Flat,"E-11/4, E-11","1,200",2,3,https://www.prop.pk/property/details-21134743.html
224,2 weeks ,35 Thousand,4,Flat,"E-11/2, E-11","1,000",2,2,https://www.prop.pk/property/details-21134816.html
225,2 weeks ,27 Thousand,11,Flat,"E-11, Islamabad",700,1,,https://www.prop.pk/property/details-22402409.html
226,2 weeks ,24 Thousand,4,Flat,"E-11, Islamabad",400,1,1,https://www.prop.pk/property/details-22503620.html
227,2 weeks ,65 Thousand,30,Flat,"E-11, Islamabad","1,258",2,2,https://www.prop.pk/property/details-22503415.html
228,2 weeks ,26 Thousand,6,Flat,"E-11, Islamabad",650,2,2,https://www.prop.pk/property/details-22503275.html
229,2 weeks ,60 Thousand,21,Flat,"E-11, Islamabad","1,200",2,2,https://www.prop.pk/property/details-22503272.html
230,2 weeks ,30 Thousand,6,Flat,"E-11, Islamabad",900,2,2,https://www.prop.pk/property/details-22503201.html
231,2 weeks ,22 Thousand,8,Flat,"E-11, Islamabad",500,1,1,https://www.prop.pk/property/details-22503171.html
232,2 weeks ,25 Thousand,9,Flat,"E-11, Islamabad",525,1,1,https://www.prop.pk/property/details-22503118.html
233,2 weeks ,60 Thousand,21,Flat,"E-11, Islamabad","1,600",,2,https://www.prop.pk/property/details-21353361.html
234,2 weeks ,22 Thousand,7,Flat,"E-11, Islamabad",800,1,1,https://www.prop.pk/property/details-22502811.html
