,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link,Size,Rent
110,1 week ,20.0,3.0,Flat,"E-11/2, E-11",500.0,1.0,1.0,https://www.prop.pk/property/details-22629969.html,225-1100,14-25
111,1 week ,32.0,8.0,Flat,"E-11/2, E-11",600.0,2.0,2.0,https://www.prop.pk/property/details-22629849.html,225-1100,25-37
112,1 week ,35.0,8.0,Flat,E-11,750.0,2.0,2.0,https://www.prop.pk/property/details-22303356.html,225-1100,25-37
113,1 week ,50.0,14.0,Flat,E-11,1560.0,2.0,2.0,https://www.prop.pk/property/details-22315645.html,1100-1975,49-61
114,1 week ,60.0,20.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-22315599.html,1100-1975,49-61
115,1 week ,35.0,8.0,Flat,E-11,750.0,2.0,2.0,https://www.prop.pk/property/details-22064027.html,225-1100,25-37
116,1 week ,35.0,8.0,Flat,E-11,700.0,2.0,2.0,https://www.prop.pk/property/details-22064105.html,225-1100,25-37
117,1 week ,35.0,15.0,Flat,E-11,700.0,1.0,1.0,https://www.prop.pk/property/details-22058046.html,225-1100,25-37
118,1 week ,66.0,6.0,Flat,"E-11/1, E-11",1900.0,3.0,3.0,https://www.prop.pk/property/details-20906078.html,1100-1975,61-73
119,1 week ,25.0,10.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-22627245.html,225-1100,25-37
120,1 week ,75.0,28.0,Flat,E-11,3500.0,3.0,3.0,https://www.prop.pk/property/details-22170965.html,2850-3725,73-85
121,1 week ,55.0,13.0,Flat,"E-11/4, E-11",1500.0,2.0,2.0,https://www.prop.pk/property/details-22548517.html,1100-1975,49-61
122,1 week ,80.0,17.0,Flat,E-11,2850.0,4.0,4.0,https://www.prop.pk/property/details-22625774.html,2850-3725,73-85
123,1 week ,35.0,7.0,Flat,E-11,750.0,1.0,1.0,https://www.prop.pk/property/details-21720176.html,225-1100,25-37
124,1 week ,22.0,5.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-21479604.html,225-1100,14-25
126,1 week ,32.0,7.0,Flat,E-11,850.0,2.0,2.0,https://www.prop.pk/property/details-22624910.html,225-1100,25-37
128,1 week ,70.0,8.0,Flat,E-11,1700.0,2.0,2.0,https://www.prop.pk/property/details-21996564.html,1100-1975,61-73
130,1 week ,60.0,12.0,Flat,E-11,2150.0,3.0,4.0,https://www.prop.pk/property/details-21996523.html,1975-2850,49-61
131,1 week ,95.0,10.0,Flat,E-11,1800.0,3.0,3.0,https://www.prop.pk/property/details-22230660.html,1100-1975,85-97
132,1 week ,40.0,3.0,Flat,"E-11/3, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-21708509.html,225-1100,37-49
133,1 week ,45.0,11.0,Flat,E-11,1700.0,3.0,3.0,https://www.prop.pk/property/details-21715949.html,1100-1975,37-49
134,1 week ,30.0,5.0,Flat,"E-11/3, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-21502816.html,225-1100,25-37
135,1 week ,55.0,8.0,Flat,E-11,1700.0,3.0,3.0,https://www.prop.pk/property/details-21744130.html,1100-1975,49-61
136,1 week ,55.0,7.0,Flat,E-11,1700.0,3.0,3.0,https://www.prop.pk/property/details-21502994.html,1100-1975,49-61
137,1 week ,30.0,6.0,Flat,E-11,800.0,2.0,2.0,https://www.prop.pk/property/details-22620116.html,225-1100,25-37
138,1 week ,36.0,7.0,Flat,"E-11/2, E-11",700.0,2.0,2.0,https://www.prop.pk/property/details-22577395.html,225-1100,25-37
139,1 week ,26.0,5.0,Flat,"E-11/2, E-11",700.0,2.0,2.0,https://www.prop.pk/property/details-22577432.html,225-1100,25-37
140,1 week ,50.0,7.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-22463377.html,1100-1975,49-61
141,1 week ,40.0,19.0,Flat,E-11,950.0,1.0,1.0,https://www.prop.pk/property/details-22615736.html,225-1100,37-49
142,1 week ,50.0,16.0,Flat,E-11,850.0,2.0,2.0,https://www.prop.pk/property/details-22174827.html,225-1100,49-61
143,1 week ,22.0,5.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-22615406.html,225-1100,14-25
144,1 week ,25.0,6.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-22615403.html,225-1100,25-37
145,1 week ,35.0,8.0,Flat,E-11,450.0,1.0,1.0,https://www.prop.pk/property/details-19307959.html,225-1100,25-37
146,1 week ,40.0,13.0,Flat,"E-11/4, E-11",1250.0,2.0,2.0,https://www.prop.pk/property/details-16533587.html,1100-1975,37-49
147,1 week ,33.0,6.0,Flat,"E-11/2, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-16413160.html,225-1100,25-37
148,1 week ,45.0,9.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-19321680.html,225-1100,37-49
